6 1690881274 10,000000 1 10,000000 10,000000 10,000000
7 1690881274 0,000000 1 0,000000 0,000000 0,000000
8 1690881274 0,000000 1 0,000000 0,000000 0,000000
9 1690881274 2,000000 1 2,000000 2,000000 2,000000
6 1690881275 10,000000 1 10,000000 10,000000 10,000000
7 1690881275 0,000000 1 0,000000 0,000000 0,000000
8 1690881275 0,000000 1 0,000000 0,000000 0,000000
9 1690881275 2,000000 1 2,000000 2,000000 2,000000
6 1690881276 10,000000 1 10,000000 10,000000 10,000000
7 1690881276 0,000000 1 0,000000 0,000000 0,000000
8 1690881276 0,000000 1 0,000000 0,000000 0,000000
9 1690881276 2,000000 1 2,000000 2,000000 2,000000
6 1690881277 10,000000 1 10,000000 10,000000 10,000000
7 1690881277 0,000000 1 0,000000 0,000000 0,000000
8 1690881277 0,000000 1 0,000000 0,000000 0,000000
9 1690881277 2,000000 1 2,000000 2,000000 2,000000
6 1690881305 10,000000 1 10,000000 10,000000 10,000000
7 1690881305 0,000000 1 0,000000 0,000000 0,000000
8 1690881305 0,000000 1 0,000000 0,000000 0,000000
9 1690881305 2,000000 1 2,000000 2,000000 2,000000
6 1690881306 6,000000 1 6,000000 6,000000 6,000000
7 1690881306 0,000000 1 0,000000 0,000000 0,000000
8 1690881306 4,000000 1 4,000000 4,000000 4,000000
9 1690881306 2,000000 1 2,000000 2,000000 2,000000
6 1690881307 0,000000 1 0,000000 0,000000 0,000000
7 1690881307 0,000000 1 0,000000 0,000000 0,000000
8 1690881307 10,000000 1 10,000000 10,000000 10,000000
9 1690881307 2,000000 1 2,000000 2,000000 2,000000
